,latitude,longitude,possible_illegal,room_type
1124,40.7683168291,-73.9234571499,False,Private room
1125,40.7553472506,-73.9139728153,False,Entire home/apt
1129,40.7633906961,-73.9131934116,True,Private room
1132,40.7694179553,-73.9234276358,False,Private room
1133,40.7697468839,-73.9188979632,False,Entire home/apt
1135,40.7668458035,-73.9176195969,False,Private room
1137,40.7628141948,-73.9155393107,False,Private room
1138,40.758226402,-73.9088098673,False,Private room
1142,40.7644954163,-73.9234010023,False,Entire home/apt
1145,40.7678094493,-73.9330346737,True,Private room
1146,40.7662251132,-73.9190159463,False,Entire home/apt
1148,40.7707340464,-73.9322876807,False,Private room
1150,40.7669062572,-73.9316990092,True,Entire home/apt
1152,40.761651045,-73.9203385833,False,Private room
1157,40.755636818,-73.9172656984,True,Private room
1160,40.7650356123,-73.9277721649,False,Entire home/apt
1162,40.7663150189,-73.9187274576,False,Private room
1165,40.7639060529,-73.9286648983,True,Private room
1166,40.7553221818,-73.9160324617,True,Entire home/apt
1167,40.7603283098,-73.9193409149,False,Entire home/apt
1168,40.7702463012,-73.9187495138,False,Private room
1170,40.7656108726,-73.9205583584,False,Private room
1172,40.7627339891,-73.9057908948,True,Entire home/apt
1173,40.7590269805,-73.9263885688,True,Private room
1174,40.7697360079,-73.9314426842,False,Entire home/apt
1175,40.7606790451,-73.9135861599,True,Entire home/apt
1177,40.7658057514,-73.9204349416,True,Private room
1178,40.7644386676,-73.9260706999,False,Entire home/apt
1179,40.7586178185,-73.9191117264,False,Entire home/apt
1187,40.7629949989,-73.9263977134,False,Private room
1188,40.7648726302,-73.9216722287,False,Private room
1192,40.7549439624,-73.9227048515,False,Private room
1193,40.7595935516,-73.9083489123,True,Private room
1196,40.7575980111,-73.906702444,False,Entire home/apt
1202,40.7594842475,-73.9210018586,False,Entire home/apt
1203,40.7613501099,-73.9157059996,True,Entire home/apt
1217,40.7631188649,-73.9232431401,True,Private room
1223,40.7658274082,-73.9108564538,False,Private room
1224,40.7679236114,-73.922282618,False,Private room
1225,40.7638901846,-73.9135768985,True,Private room
1227,40.7607108647,-73.9221234946,False,Entire home/apt
1228,40.7657693777,-73.9147058178,False,Private room
1229,40.7567314601,-73.9253042392,False,Entire home/apt
1237,40.7583659285,-73.913867481,False,Entire home/apt
1238,40.7644139092,-73.9287817123,False,Private room
1239,40.7585476723,-73.9102073123,False,Entire home/apt
1241,40.7567064971,-73.9174935968,False,Entire home/apt
1244,40.7619404511,-73.9188064762,False,Private room
1247,40.7581329076,-73.9139845278,True,Private room
1248,40.7641865378,-73.9068971081,True,Entire home/apt
1264,40.7605828537,-73.916047787,False,Entire home/apt
1268,40.7606799963,-73.925737276,False,Private room
1280,40.7672948779,-73.7716214682,False,Entire home/apt
1281,40.750113031,-73.7472741614,False,Entire home/apt
1285,40.7566587844,-73.7631423256,False,Entire home/apt
1287,40.7547027249,-73.7790433195,False,Private room
1295,40.7587320741,-73.7624398823,False,Private room
1317,40.7703405413,-73.7739412429,False,Private room
1319,40.710314963,-74.0163782774,True,Private room
1322,40.7107459411,-74.0160916829,False,Entire home/apt
1333,40.7109707187,-74.0165762137,True,Entire home/apt
1337,40.7063895408,-74.0165400408,False,Private room
1338,40.7101191095,-74.0150437713,False,Private room
1340,40.7107773795,-74.0162334497,True,Shared room
1346,40.7097565753,-74.0154400128,False,Private room
1350,40.7044190309,-74.0166616096,False,Entire home/apt
1353,40.7121058911,-74.0159139816,False,Shared room
1358,40.7174433188,-74.0150453002,False,Entire home/apt
1362,40.7057978131,-74.0168560576,False,Private room
1363,40.7105411365,-74.0173593566,False,Private room
1365,40.7102724422,-74.0163410842,False,Private room
1366,40.7079745343,-74.0169336682,False,Entire home/apt
1367,40.71028726,-74.0172534656,False,Private room
1371,40.7094341376,-74.0181040488,False,Entire home/apt
1374,40.7103054603,-74.0155745894,False,Entire home/apt
1378,40.7101132044,-74.0145696362,True,Private room
1379,40.7065677948,-74.0167628276,False,Private room
1381,40.7118476801,-74.017191994,False,Entire home/apt
1383,40.7101877582,-74.0170494842,False,Entire home/apt
1387,40.6243301489,-74.0289197331,False,Entire home/apt
1389,40.632025556,-74.030483428,False,Entire home/apt
1390,40.6346369837,-74.0309371394,True,Entire home/apt
1391,40.6308742044,-74.0182094037,False,Private room
1396,40.6377708286,-74.0249656277,False,Entire home/apt
1403,40.6328180891,-74.0291533613,False,Private room
1406,40.6244929544,-74.0297742873,False,Private room
1410,40.6330976165,-74.0288133098,False,Private room
1411,40.6235592341,-74.024001722,True,Entire home/apt
1414,40.6348858663,-74.0354847183,False,Entire home/apt
1418,40.6356958786,-74.0296786869,False,Private room
1419,40.6330352731,-74.0281123332,False,Private room
1423,40.6336840585,-74.0227227853,False,Private room
1429,40.6267393928,-74.0299594666,False,Private room
1431,40.6386689905,-74.0299641746,False,Private room
1433,40.6319544214,-74.0213972108,False,Entire home/apt
1438,40.6332236956,-74.0311974352,False,Entire home/apt
1440,40.6339007124,-74.0203456918,False,Private room
1441,40.6346477454,-74.0236609179,False,Entire home/apt
1442,40.634196843,-74.0233738394,False,Entire home/apt
1446,40.6254299362,-74.0300393114,False,Entire home/apt
1448,40.6267188449,-74.0280184295,False,Private room
1450,40.6374530227,-74.0253448617,False,Private room
1452,40.635014757,-74.0342646851,False,Entire home/apt
1454,40.6349225783,-74.0313689698,False,Entire home/apt
1458,40.6332402652,-74.030769346,True,Private room
1459,40.6359717291,-74.0302979278,False,Private room
1460,40.6326551917,-74.0283995403,False,Private room
1461,40.6353998238,-74.0336343189,False,Entire home/apt
1465,40.6336445986,-74.0296351447,False,Private room
1469,40.6248663794,-74.02949228,False,Private room
1470,40.6367313165,-74.0349155852,False,Entire home/apt
1471,40.6371927399,-74.0348864684,False,Entire home/apt
1477,40.6315451568,-74.0190787546,False,Private room
1479,40.7859835347,-73.7791545521,False,Private room
1481,40.7799475706,-73.785056745,True,Entire home/apt
1483,40.7777447187,-73.783756479,False,Entire home/apt
1489,40.6054911857,-73.7554655879,False,Private room
1491,40.5996848284,-73.7645247706,True,Private room
1493,40.6062873848,-73.7565426837,False,Private room
1494,40.6042201673,-73.7562445274,False,Private room
1496,40.6868819649,-73.9559570862,False,Private room
1497,40.683710749,-73.9402777424,False,Entire home/apt
1501,40.6932372214,-73.9321736197,True,Entire home/apt
1508,40.6814465379,-73.9517778195,False,Entire home/apt
1510,40.6903913997,-73.9594711259,False,Entire home/apt
1513,40.6866558504,-73.9197166548,False,Private room
1521,40.6796848778,-73.9076423957,False,Private room
1526,40.6792866468,-73.9437488556,False,Private room
