,GEOID,County ,median_rent,monthly_BnB,rent_diff,poverty_rate,premium_pct_median_rent
579,36047041500,Kings,1416.0,3100.0,1684.0,0.202689721422,1.18926553672
580,36047041600,Kings,1316.0,1800.0,484.0,0.266009852217,0.367781155015
581,36047041700,Kings,867.0,3195.0,2328.0,0.255076142132,2.68512110727
582,36047041900,Kings,1093.0,4470.0,3377.0,0.310307017544,3.08966148216
585,36047042300,Kings,1375.0,4194.0,2819.0,0.253557567917,2.05018181818
587,36047042500,Kings,1363.0,4029.6,2666.6,0.251798561151,1.95641966251
589,36047042700,Kings,1342.0,3880.90909091,2538.90909091,0.446043165468,1.89188456849
591,36047042900,Kings,1280.0,4143.6,2863.6,0.234241908007,2.2371875
593,36047043200,Kings,1201.0,1845.0,644.0,0.166932907348,0.536219816819
594,36047043300,Kings,1119.0,3585.0,2466.0,0.284384694933,2.20375335121
595,36047043400,Kings,1157.0,3870.0,2713.0,0.205700123916,2.3448573898
597,36047043700,Kings,1400.0,4821.81818182,3421.81818182,0.289022298456,2.44415584416
598,36047043800,Kings,1337.0,4848.0,3511.0,0.187898089172,2.62602842184
599,36047044100,Kings,1269.0,3256.15384615,1987.15384615,0.253076923077,1.56592107656
600,36047044200,Kings,1349.0,3750.0,2401.0,0.0886262924668,1.77983691623
601,36047044400,Kings,1198.0,2490.0,1292.0,0.176701570681,1.07846410684
602,36047044500,Kings,1290.0,4265.55555556,2975.55555556,0.273846153846,2.30663221361
604,36047044700,Kings,1410.0,4067.0,2657.0,0.197860962567,1.88439716312
608,36047045300,Kings,1633.0,4462.94117647,2829.94117647,0.255972696246,1.73297071431
609,36047045800,Kings,1083.0,1860.0,777.0,0.0349127182045,0.717451523546
610,36047046000,Kings,1231.0,4490.0,3259.0,0.260290556901,2.64744110479
611,36047046201,Kings,1056.0,2970.0,1914.0,0.165120593692,1.8125
614,36047046800,Kings,1756.0,2430.0,674.0,0.305687203791,0.383826879271
617,36047047700,Kings,2240.0,5710.81967213,3470.81967213,0.0884615384615,1.54947306792
619,36047048100,Kings,1558.0,4592.79069767,3034.79069767,0.049115913556,1.94787592918
620,36047048200,Kings,1202.0,21520.0,20318.0,0.253731343284,16.9034941764
621,36047048400,Kings,1427.0,3202.5,1775.5,0.24348534202,1.2442186405
622,36047048500,Kings,1967.0,5855.625,3888.625,0.0870712401055,1.97693187595
623,36047048600,Kings,1288.0,2430.0,1142.0,0.251453488372,0.886645962733
624,36047048800,Kings,1209.0,2775.0,1566.0,0.231732776618,1.2952853598
625,36047049000,Kings,1353.0,3453.75,2100.75,0.263554216867,1.55266075388
626,36047049100,Kings,861.0,4978.125,4117.125,0.122773536896,4.78179442509
627,36047049200,Kings,1100.0,4453.33333333,3353.33333333,0.243016759777,3.04848484848
628,36047049400,Kings,1284.0,5805.0,4521.0,0.132867132867,3.52102803738
629,36047049500,Kings,1576.0,4891.39534884,3315.39534884,0.0777777777778,2.1036772518
630,36047049600,Kings,1465.0,3637.5,2172.5,0.0859835100118,1.48293515358
631,36047049700,Kings,1808.0,6127.17391304,4319.17391304,0.0570652173913,2.38892362447
632,36047049800,Kings,1405.0,4500.0,3095.0,0.138565891473,2.20284697509
633,36047049900,Kings,1502.0,6222.69230769,4720.69230769,0.0293333333333,3.14293762163
634,36047050000,Kings,1519.0,4112.72727273,2593.72727273,0.0551181102362,1.70752289186
